condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,occlusion_level
occlusion,0,chair,0.6881,0.1419,125.44,laptop,25_percent
occlusion,0,keyboard,0.8019,0.0974,125.44,laptop,25_percent
occlusion,0,remote,0.6075,0.1084,125.44,laptop,25_percent
occlusion,0,keyboard,0.7427,0.0515,125.44,laptop,25_percent
occlusion,1,chair,0.5338,0.0866,139.49,laptop,50_percent
occlusion,2,cell phone,0.5238,0.1504,117.32,laptop,75_percent
occlusion,3,bottle,0.505,0.1634,120.2,laptop,50_percent
occlusion,3,person,0.7768,0.1539,120.2,laptop,50_percent
occlusion,3,remote,0.6503,0.122,120.2,laptop,50_percent
occlusion,4,cup,0.4253,0.1834,182.03,laptop,75_percent
occlusion,4,cell phone,0.5716,0.1321,182.03,laptop,75_percent
occlusion,4,mouse,0.6058,0.192,182.03,laptop,75_percent
occlusion,4,chair,0.6336,0.2139,182.03,laptop,75_percent
occlusion,5,remote,0.6974,0.1318,126.32,laptop,50_percent
occlusion,6,book,0.7464,0.0916,134.85,laptop,25_percent
occlusion,6,cell phone,0.8099,0.0537,134.85,laptop,25_percent
occlusion,7,bottle,0.4841,0.1577,166.87,laptop,75_percent
occlusion,8,cell phone,0.5177,0.1659,119.75,laptop,75_percent
occlusion,9,person,0.6685,0.1086,135.23,laptop,25_percent
occlusion,10,remote,0.7222,0.1873,220.29,laptop,50_percent
occlusion,10,book,0.5745,0.149,220.29,laptop,50_percent
occlusion,11,person,0.4574,0.1934,136.72,laptop,75_percent
occlusion,11,bottle,0.6806,0.0852,136.72,laptop,75_percent
occlusion,11,cup,0.5047,0.1614,136.72,laptop,75_percent
occlusion,12,book,0.5893,0.1134,163.36,laptop,75_percent
occlusion,12,tv,0.6434,0.1672,163.36,laptop,75_percent
occlusion,12,person,0.6984,0.202,163.36,laptop,75_percent
occlusion,13,remote,0.6327,0.1943,240.5,laptop,75_percent
occlusion,14,cell phone,0.7135,0.177,146.93,laptop,50_percent
occlusion,15,remote,0.4272,0.1783,187.91,laptop,75_percent
occlusion,15,bottle,0.5894,0.2239,187.91,laptop,75_percent
occlusion,15,cell phone,0.4758,0.1632,187.91,laptop,75_percent
occlusion,15,remote,0.6662,0.191,187.91,laptop,75_percent
