condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,lighting_level
lighting_shift,0,cell phone,0.7493,0.1051,141.45,laptop,strong_backlight
lighting_shift,1,chair,0.5644,0.0744,178.03,laptop,reduced
lighting_shift,1,laptop,0.6543,0.1174,178.03,laptop,reduced
lighting_shift,1,bottle,0.7766,0.112,178.03,laptop,reduced
lighting_shift,1,cell phone,0.5872,0.0964,178.03,laptop,reduced
lighting_shift,2,dining table,0.7161,0.1083,180.29,laptop,reduced
lighting_shift,2,cell phone,0.6982,0.1028,180.29,laptop,reduced
lighting_shift,2,tv,0.6643,0.1074,180.29,laptop,reduced
lighting_shift,2,laptop,0.6634,0.0905,180.29,laptop,reduced
lighting_shift,3,person,0.6896,0.1598,176.63,laptop,strong_backlight
lighting_shift,4,laptop,0.7041,0.1169,112.57,laptop,reduced
lighting_shift,4,mouse,0.5731,0.1124,112.57,laptop,reduced
lighting_shift,4,tv,0.7623,0.1038,112.57,laptop,reduced
lighting_shift,5,chair,0.8149,0.1007,144.59,laptop,reduced
lighting_shift,5,person,0.6464,0.1185,144.59,laptop,reduced
lighting_shift,5,bottle,0.7583,0.1111,144.59,laptop,reduced
lighting_shift,5,book,0.586,0.0941,144.59,laptop,reduced
lighting_shift,6,cell phone,0.5189,0.1295,156.01,laptop,strong_backlight
lighting_shift,6,person,0.7373,0.0977,156.01,laptop,strong_backlight
lighting_shift,6,book,0.78,0.0502,156.01,laptop,strong_backlight
lighting_shift,6,cup,0.511,0.1177,156.01,laptop,strong_backlight
lighting_shift,7,cup,0.5373,0.119,144.46,laptop,strong_backlight
lighting_shift,7,chair,0.723,0.1445,144.46,laptop,strong_backlight
lighting_shift,7,dining table,0.7076,0.1098,144.46,laptop,strong_backlight
lighting_shift,8,cell phone,0.6636,0.115,138.72,laptop,strong_backlight
lighting_shift,9,keyboard,0.7438,0.0905,130.01,laptop,reduced
lighting_shift,9,dining table,0.6449,0.144,130.01,laptop,reduced
lighting_shift,9,chair,0.6241,0.1156,130.01,laptop,reduced
lighting_shift,10,tv,0.7663,0.087,129.33,laptop,reduced
lighting_shift,11,dining table,0.5594,0.1238,159.25,laptop,reduced
lighting_shift,11,book,0.6478,0.1099,159.25,laptop,reduced
lighting_shift,12,bottle,0.6722,0.1002,138.24,laptop,strong_backlight
lighting_shift,12,laptop,0.7882,0.1459,138.24,laptop,strong_backlight
lighting_shift,12,tv,0.6161,0.107,138.24,laptop,strong_backlight
lighting_shift,13,cup,0.7082,0.1417,133.52,laptop,strong_backlight
lighting_shift,13,bottle,0.6356,0.1249,133.52,laptop,strong_backlight
lighting_shift,14,mouse,0.6042,0.1005,161.38,laptop,strong_backlight
lighting_shift,15,book,0.6526,0.0694,128.03,laptop,strong_backlight
lighting_shift,15,laptop,0.7376,0.1274,128.03,laptop,strong_backlight
lighting_shift,16,tv,0.5389,0.1319,165.59,laptop,strong_backlight
lighting_shift,16,remote,0.7157,0.1189,165.59,laptop,strong_backlight
lighting_shift,16,chair,0.747,0.1849,165.59,laptop,strong_backlight
lighting_shift,16,dining table,0.6397,0.1549,165.59,laptop,strong_backlight
lighting_shift,17,tv,0.7959,0.1183,141.29,laptop,reduced
lighting_shift,17,cell phone,0.6321,0.1295,141.29,laptop,reduced
lighting_shift,18,mouse,0.7869,0.1196,183.74,laptop,strong_backlight
lighting_shift,19,keyboard,0.8042,0.1216,170.45,laptop,reduced
lighting_shift,19,keyboard,0.6412,0.1292,170.45,laptop,reduced
lighting_shift,20,keyboard,0.6215,0.1288,186.76,laptop,reduced
lighting_shift,21,cup,0.6449,0.1254,109.1,laptop,strong_backlight
lighting_shift,22,chair,0.6453,0.136,107.82,laptop,strong_backlight
lighting_shift,22,keyboard,0.5431,0.1391,107.82,laptop,strong_backlight
lighting_shift,22,book,0.7926,0.1082,107.82,laptop,strong_backlight
lighting_shift,23,laptop,0.5423,0.1988,129.62,laptop,strong_backlight
