condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,novelty_label
novel_objects,0,keyboard,0.5799,0.158,108.46,laptop,novel_object
novel_objects,1,mouse,0.578,0.1283,94.89,laptop,novel_object
novel_objects,1,cell phone,0.5325,0.1357,94.89,laptop,novel_object
novel_objects,1,cell phone,0.4604,0.1495,94.89,laptop,novel_object
novel_objects,1,laptop,0.6442,0.1399,94.89,laptop,novel_object
novel_objects,2,cup,0.5649,0.1335,97.98,laptop,novel_object
novel_objects,2,mouse,0.7154,0.1421,97.98,laptop,novel_object
novel_objects,2,mouse,0.7482,0.1435,97.98,laptop,novel_object
novel_objects,2,person,0.7468,0.1626,97.98,laptop,novel_object
novel_objects,3,dining table,0.5532,0.1453,139.01,laptop,novel_object
novel_objects,3,book,0.5665,0.1144,139.01,laptop,novel_object
novel_objects,3,book,0.6291,0.1023,139.01,laptop,novel_object
novel_objects,4,dining table,0.6088,0.1613,97.74,laptop,novel_object
novel_objects,4,laptop,0.7422,0.108,97.74,laptop,novel_object
novel_objects,4,mouse,0.5223,0.1427,97.74,laptop,novel_object
novel_objects,5,laptop,0.6227,0.1786,166.88,laptop,novel_object
novel_objects,6,cell phone,0.5028,0.1474,126.77,laptop,novel_object
novel_objects,6,remote,0.6593,0.1731,126.77,laptop,novel_object
novel_objects,6,person,0.661,0.1281,126.77,laptop,novel_object
novel_objects,6,keyboard,0.6191,0.145,126.77,laptop,novel_object
novel_objects,7,dining table,0.6126,0.114,174.0,laptop,novel_object
novel_objects,7,person,0.4771,0.1186,174.0,laptop,novel_object
novel_objects,8,dining table,0.4502,0.1734,93.95,laptop,novel_object
novel_objects,8,laptop,0.6919,0.1273,93.95,laptop,novel_object
novel_objects,9,book,0.4679,0.1118,182.04,laptop,novel_object
novel_objects,9,remote,0.7252,0.1619,182.04,laptop,novel_object
novel_objects,10,book,0.6614,0.153,186.13,laptop,novel_object
novel_objects,10,keyboard,0.4803,0.1241,186.13,laptop,novel_object
novel_objects,10,cell phone,0.7428,0.1586,186.13,laptop,novel_object
novel_objects,11,dining table,0.6448,0.1139,169.6,laptop,novel_object
novel_objects,11,tv,0.6581,0.1743,169.6,laptop,novel_object
novel_objects,11,book,0.517,0.1471,169.6,laptop,novel_object
novel_objects,11,cell phone,0.5635,0.1587,169.6,laptop,novel_object
novel_objects,12,remote,0.4505,0.1562,104.48,laptop,novel_object
novel_objects,12,keyboard,0.5675,0.1795,104.48,laptop,novel_object
novel_objects,12,keyboard,0.4597,0.1482,104.48,laptop,novel_object
novel_objects,13,bottle,0.731,0.1113,154.69,laptop,novel_object
novel_objects,13,remote,0.4733,0.1277,154.69,laptop,novel_object
novel_objects,14,bottle,0.6965,0.1536,108.45,laptop,novel_object
novel_objects,14,remote,0.716,0.1357,108.45,laptop,novel_object
novel_objects,14,cup,0.5129,0.1555,108.45,laptop,novel_object
novel_objects,15,bottle,0.6661,0.1039,117.15,laptop,novel_object
novel_objects,15,dining table,0.6698,0.1775,117.15,laptop,novel_object
novel_objects,15,chair,0.5979,0.1303,117.15,laptop,novel_object
novel_objects,16,dining table,0.6866,0.1462,101.94,laptop,novel_object
novel_objects,16,mouse,0.5177,0.1361,101.94,laptop,novel_object
novel_objects,16,person,0.5385,0.1255,101.94,laptop,novel_object
novel_objects,16,bottle,0.4723,0.1136,101.94,laptop,novel_object
novel_objects,17,bottle,0.6141,0.1718,107.77,laptop,novel_object
novel_objects,17,bottle,0.5514,0.1788,107.77,laptop,novel_object
novel_objects,17,dining table,0.6614,0.1345,107.77,laptop,novel_object
novel_objects,17,mouse,0.4995,0.1712,107.77,laptop,novel_object
novel_objects,18,book,0.5117,0.1152,97.25,laptop,novel_object
novel_objects,18,remote,0.6162,0.174,97.25,laptop,novel_object
novel_objects,19,cup,0.5213,0.104,156.74,laptop,novel_object
novel_objects,19,keyboard,0.6149,0.1393,156.74,laptop,novel_object
novel_objects,19,person,0.5582,0.1342,156.74,laptop,novel_object
novel_objects,20,mouse,0.6301,0.116,172.74,laptop,novel_object
novel_objects,20,person,0.5121,0.1511,172.74,laptop,novel_object
novel_objects,20,bottle,0.5921,0.1092,172.74,laptop,novel_object
novel_objects,21,mouse,0.5295,0.1513,138.15,laptop,novel_object
novel_objects,21,chair,0.5055,0.1708,138.15,laptop,novel_object
novel_objects,21,book,0.506,0.1036,138.15,laptop,novel_object
novel_objects,21,dining table,0.5895,0.1181,138.15,laptop,novel_object
novel_objects,22,cell phone,0.6757,0.1534,147.3,laptop,novel_object
novel_objects,22,bottle,0.6504,0.1647,147.3,laptop,novel_object
novel_objects,22,chair,0.7412,0.1472,147.3,laptop,novel_object
novel_objects,23,tv,0.5756,0.1428,174.4,laptop,novel_object
novel_objects,24,laptop,0.5929,0.1063,148.13,laptop,novel_object
novel_objects,24,remote,0.4604,0.1457,148.13,laptop,novel_object
novel_objects,24,tv,0.6901,0.1542,148.13,laptop,novel_object
novel_objects,24,keyboard,0.4942,0.1759,148.13,laptop,novel_object
novel_objects,25,cell phone,0.7416,0.1647,108.94,laptop,novel_object
novel_objects,25,cell phone,0.4628,0.1063,108.94,laptop,novel_object
novel_objects,25,mouse,0.5806,0.1798,108.94,laptop,novel_object
novel_objects,25,mouse,0.4944,0.1476,108.94,laptop,novel_object
novel_objects,26,bottle,0.4761,0.1445,181.26,laptop,novel_object
novel_objects,26,tv,0.5478,0.1221,181.26,laptop,novel_object
novel_objects,26,dining table,0.7251,0.101,181.26,laptop,novel_object
novel_objects,27,cell phone,0.4945,0.147,103.03,laptop,novel_object
novel_objects,27,bottle,0.7275,0.145,103.03,laptop,novel_object
novel_objects,27,bottle,0.6857,0.1694,103.03,laptop,novel_object
novel_objects,27,book,0.7134,0.1211,103.03,laptop,novel_object
novel_objects,28,dining table,0.4612,0.122,148.06,laptop,novel_object
novel_objects,28,cell phone,0.6355,0.1545,148.06,laptop,novel_object
novel_objects,28,chair,0.4616,0.1712,148.06,laptop,novel_object
novel_objects,28,book,0.6572,0.1039,148.06,laptop,novel_object
novel_objects,29,book,0.4561,0.1654,182.24,laptop,novel_object
novel_objects,29,cup,0.5433,0.1674,182.24,laptop,novel_object
novel_objects,29,remote,0.6555,0.1778,182.24,laptop,novel_object
novel_objects,29,laptop,0.4903,0.1779,182.24,laptop,novel_object
novel_objects,30,book,0.5308,0.1333,167.86,laptop,novel_object
novel_objects,30,mouse,0.4768,0.1353,167.86,laptop,novel_object
novel_objects,30,chair,0.6723,0.1608,167.86,laptop,novel_object
novel_objects,30,book,0.6963,0.1412,167.86,laptop,novel_object
novel_objects,31,remote,0.602,0.1109,98.43,laptop,novel_object
